Row Labels,PFMA 121,PFMA 123,PFMA 124,PFMA 125,PFMA 126,PFMA 127,PFMA 21,PFMA 23,PFMA 24,PFMA 25,PFMA 26,PFMA 27,Total (pieces),tonnes,0.94 # avg weight of species in kg (QB estimated weight in yamanaka 2011)
2000,,,,,,,,666,167,271,,,1104,1.03776,
2001,28,16,183,569,,,,301,28,89,,2054,3268,3.07192,
2002,,98,343,,,,,641,107,952,7,,2148,2.01912,
2003,52,140,76,2,1,,,899,74,565,,84,1893,1.77942,
2004,19,64,270,87,1,,1,482,17,796,1,,1738,1.63372,
2005,414,455,417,98,15,,4,662,23,769,2,17,2876,2.70344,
2006,152,873,219,52,,154,,497,149,397,,66,2559,2.40546,
2007,332,538,177,172,,99,46,437,171,364,1,118,2455,2.3077,
2008,172,825,483,663,,296,12,534,385,245,,246,3861,3.62934,
2009,26,303,345,287,,312,,601,21,255,,392,2542,2.38948,
2010,83,984,251,254,,395,,265,,327,,179,2738,2.57372,
2011,129,930,421,321,131,247,,293,64,919,4,204,3663,3.44322,
2012,412,102,322,533,,463,,58,4,255,,277,2426,2.28044,
2013,133,23,52,93,369,442,12,19,476,169,61,118,1967,1.84898,
2014,137,17,216,214,295,209,3,88,491,128,47,163,2008,1.88752,
2015,280,47,308,243,353,713,36,140,56,468,82,388,3114,2.92716,
2016,323,104,178,1343,196,520,5,326,65,754,80,581,4475,4.2065,
2017,258,44,714,791,407,138,310,223,493,580,1769,522,6249,5.87406,
2018,4,135,247,433,542,408,,1115,48,820,1042,753,5547,5.21418,
2019,92,49,179,336,767,397,9,633,198,613,1480,380,5133,4.82502,
2020,23,21,71,65,120,103,,127,54,155,85,217,1041,0.97854,
