,PFMA,YEAR,QBCatch,tonnes,annualEffort,totalEffort
1,PFMA 13,1982,12229.37227,11.49560994,101370,110493.3
2,PFMA 14,1982,4720.86627,4.437614294,119633,130399.97
3,PFMA 15,1982,2357.837665,2.216367405,10355,11286.95
4,PFMA 16,1982,31395.76125,29.51201558,55072,60028.48
5,PFMA 17,1982,3881.233533,3.648359521,58344,63594.96
6,PFMA 18,1982,4277.475572,4.020827037,49276,53710.84
7,PFMA 19,1982,5004.439355,4.704172993,69122,75342.98
8,PFMA 20,1982,306.9615107,0.28854382,24819,27052.71
9,PFMA 28,1982,2311.579895,2.172885102,46391,50566.19
10,PFMA 29,1982,2539.330709,2.386970866,25011,27261.99
11,PFMA 13,1983,22827.28814,21.45765085,118095,128723.55
12,PFMA 14,1983,4701.266159,4.419190189,99391,108336.19
13,PFMA 15,1983,2425.112046,2.279605323,9511,10366.99
14,PFMA 16,1983,21443.17759,20.15658694,50288,54813.92
15,PFMA 17,1983,4104.044667,3.857801987,58404,63660.36
16,PFMA 18,1983,3887.715814,3.654452865,41114,44814.26
17,PFMA 19,1983,3657.819521,3.43835035,55136,60098.24
18,PFMA 20,1983,1329.060379,1.249316756,48550,52919.5
19,PFMA 28,1983,2815.374444,2.646451977,36626,39922.34
20,PFMA 29,1983,2798.843113,2.630912526,16613,18108.17
21,PFMA 13,1984,14181.50501,13.33061471,142774,155623.66
22,PFMA 14,1984,3988.7607,3.749435058,105410,114896.9
23,PFMA 15,1984,2775.068198,2.608564106,10549,11498.41
24,PFMA 16,1984,9371.686776,8.809385569,81349,88670.41
25,PFMA 17,1984,8032.796085,7.55082832,86446,94226.14
26,PFMA 18,1984,3853.129623,3.621941846,42405,46221.45
27,PFMA 19,1984,3390.012338,3.186611598,65744,71660.96
28,PFMA 20,1984,981.0126426,0.922151884,38697,42179.73
29,PFMA 28,1984,2376.735262,2.234131146,39963,43559.67
30,PFMA 29,1984,2937.592319,2.76133678,37751,41148.59
31,PFMA 13,1985,8993.910351,8.45427573,132934,144898.06
32,PFMA 14,1985,3422.289875,3.216952482,118224,128864.16
33,PFMA 15,1985,1107.439803,1.040993415,12095,13183.55
34,PFMA 16,1985,22412.50202,21.0677519,87292,95148.28
35,PFMA 17,1985,4742.012056,4.457491332,69868,76156.12
36,PFMA 18,1985,2303.782325,2.165555386,32448,35368.32
37,PFMA 19,1985,3208.23525,3.015741135,62289,67895.01
38,PFMA 20,1985,534.7530255,0.502667844,52780,57530.2
39,PFMA 28,1985,1590.453547,1.495026334,34414,37511.26
40,PFMA 29,1985,2407.922731,2.263447367,26172,28527.48
41,PFMA 13,1986,13254.41353,12.45914872,132178,144074.02
42,PFMA 14,1986,5708.87752,5.366344868,117359,127921.31
43,PFMA 15,1986,1747.840157,1.642969747,14123,15394.07
44,PFMA 16,1986,28442.43265,26.73588669,70539,76887.51
45,PFMA 17,1986,4194.53327,3.942861274,65610,71514.9
46,PFMA 18,1986,2456.379637,2.308996858,28000,30520
47,PFMA 19,1986,4246.28433,3.99150727,50036,54539.24
48,PFMA 20,1986,846.5342665,0.795742211,46933,51156.97
49,PFMA 28,1986,1544.513492,1.451842683,31701,34554.09
50,PFMA 29,1986,2659.726845,2.500143235,26492,28876.28
51,PFMA 13,1987,10207.98843,9.595509121,121369,132292.21
52,PFMA 14,1987,6265.686318,5.889745139,122735,133781.15
53,PFMA 15,1987,1920.554191,1.80532094,12104,13193.36
54,PFMA 16,1987,11974.96541,11.25646748,57794,62995.46
