"set_counts.year","set_counts.station","set_counts.lat","set_counts.lon","set_counts.E_it","set_counts.N_it","set_counts.C_it","set_counts.E_it20","set_counts.N_it20","set_counts.C_it20","set_counts.usable"
1995,"10D",52.4,-129.3667,5.019074,4,0.796959757915504,NA,NA,NA,"Y"
1995,"10G",52.4,-129.8333,4.918693,0,0,NA,NA,NA,"Y"
1995,"10GC",52.3333,-130,4.968883,0,0,NA,NA,NA,"Y"
1995,"10I",52.4,-130.1667,4.818311,0,0,NA,NA,NA,"Y"
1995,"10L",52.4,-130.6667,4.818311,0,0,NA,NA,NA,"Y"
1995,"10LC",52.2667,-130.6667,4.968883,0,0,NA,NA,NA,"Y"
1995,"11E",52.6,-130,4.968883,0,0,NA,NA,NA,"Y"
1995,"11H",52.6,-130.5,4.968883,0,0,NA,NA,NA,"Y"
1995,"11HC",52.6667,-130.6667,4.968883,0,0,NA,NA,NA,"Y"
1995,"11J",52.6,-130.8333,4.918693,0,0,NA,NA,NA,"Y"
1995,"11M",52.6,-131.3167,4.968883,0,0,NA,NA,NA,"Y"
1995,"12C",52.8,-129.8333,4.968883,0,0,NA,NA,NA,"Y"
1995,"12CC",52.7333,-130,4.968883,0,0,NA,NA,NA,"Y"
1995,"12E",52.8,-130.1667,5.019074,0,0,NA,NA,NA,"Y"
1995,"12H",52.8,-130.6667,5.019074,0,0,NA,NA,NA,"Y"
1995,"12K",52.8,-131.15,4.968883,0,0,NA,NA,NA,"Y"
1995,"12KC",52.7333,-131.3167,5.069265,0,0,NA,NA,NA,"Y"
1995,"12M",52.8,-131.5,5.019074,0,0,NA,NA,NA,"Y"
1995,"13D",53,-130.3333,4.76812,0,0,NA,NA,NA,"Y"
1995,"13F",53,-130.65,4.667739,0,0,NA,NA,NA,"Y"
1995,"13FC",53.0667,-130.8333,4.918693,2,0.406612081705445,NA,NA,NA,"Y"
1995,"13H",53,-131,5.019074,0,0,NA,NA,NA,"Y"
1995,"13K",52.9667,-131.4833,5.019074,0,0,NA,NA,NA,"Y"
1995,"14A",53.2,-130.1667,5.019074,NA,NA,NA,NA,NA,"N"
1995,"14AC",53.1333,-130.3333,4.868502,0,0,NA,NA,NA,"Y"
1995,"14C",53.2,-130.5,4.717929,0,0,NA,NA,NA,"Y"
1995,"14E",53.2,-130.8333,4.968883,0,0,NA,NA,NA,"Y"
1995,"14H",53.2,-131.3333,5.019074,0,0,NA,NA,NA,"Y"
1995,"14HC",53.1333,-131.4333,4.968883,0,0,NA,NA,NA,"Y"
1995,"14I",53.1833,-131.5,4.968883,0,0,NA,NA,NA,"Y"
1995,"15C",53.4,-130.8333,4.968883,0,0,NA,NA,NA,"Y"
1995,"15F",53.4,-131.3333,4.968883,0,0,NA,NA,NA,"Y"
1995,"15FC",53.4667,-131.5,5.019074,0,0,NA,NA,NA,"Y"
1995,"15H",53.4,-131.6667,4.968883,0,0,NA,NA,NA,"Y"
1995,"15J",53.4,-132.7333,5.019074,1,0.199239939478876,NA,NA,NA,"Y"
