,year,biomass,lowerci,upperci,re,num_sets,num_pos_sets,survey_series_id,survey_abbrev,survey_series_desc,species_common_name,species_science_name
31,2003,85318.51,4852.56,193150.04,0.59061,233,5,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
32,2004,226339.83,33962.28,549476.15,0.62768,230,13,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
43,2005,158452.8,19848.65,341321.76,0.54503,224,12,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
50,2007,152634.55,30402.69,401374.16,0.64462,255,13,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
63,2009,54539.8,15912.25,103362.72,0.3992,233,10,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
75,2011,136412.4,25542.67,289012.11,0.49193,251,15,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
85,2013,135984.14,36733.31,275057.67,0.44522,240,17,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
95,2015,62163.18,26006.03,108577.17,0.33137,238,20,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
105,2017,174559.26,95110.68,266830.84,0.25249,240,40,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
115,2019,145461.03,61622.39,246393.72,0.3301,242,24,1,SYN QCS,Queen Charlotte Sound Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
1,1984,44819.68,8335.57,90760.53,0.49485,146,10,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
11,1987,208091.38,17058.35,455305.99,0.56583,85,7,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
15,1989,276591.5,46484.88,589511.43,0.50995,90,9,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
17,1991,103668.44,20922.67,215743.51,0.5246,97,12,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
20,1993,192021.37,29546.3,471026.86,0.65267,94,8,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
22,1995,62238.86,20944.32,118335.9,0.41198,101,11,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
23,1996,56553.74,23930.66,98841,0.34277,158,16,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
24,1998,74873.4,17717.45,149266.02,0.46429,86,8,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
25,2000,134261.71,25368,293873,0.54284,105,9,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
26,2002,13601.71,3397.33,26758.82,0.44333,91,6,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
27,2003,146410.82,40144.27,298665.89,0.45168,95,14,2,OTHER HS MSA,Hecate Strait Multispecies Assemblage Bottom Trawl,quillback rockfish,sebastes maliger
38,2005,202436.09,109023.61,328194.53,0.26736,198,41,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
47,2007,401515.78,134955.01,808779.58,0.42961,132,31,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
59,2009,184828.51,66122.41,356592.05,0.40856,155,28,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
70,2011,390570.02,213156.97,628147.18,0.26723,184,40,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
82,2013,442508.16,201124,720247.67,0.30289,175,44,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
92,2015,281677.38,126488.05,471990.5,0.30644,148,32,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
102,2017,225553.45,114389.3,368156.25,0.28677,138,44,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
110,2019,226502.08,104847.95,369765.7,0.30939,136,35,3,SYN HS,Hecate Strait Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
37,2004,75955.43,17064.52,156388.86,0.48798,89,8,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
46,2006,41314.96,9447.38,90223.88,0.5045,164,8,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
55,2008,58119.82,15269.38,117745.83,0.4504,159,8,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
67,2010,40037.15,11908.38,81358.6,0.45099,136,10,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
80,2012,65665.63,34554.47,103661.94,0.26792,151,17,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
89,2014,35312.64,11686.2,65051.41,0.37781,146,9,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
101,2016,51341.7,18059.92,92932.73,0.38895,140,8,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
109,2018,40883.62,4383.09,126431.44,0.75719,190,8,4,SYN WCVI,West Coast Vancouver Island Synoptic Bottom Trawl,quillback rockfish,sebastes maliger
73,2011,530.29,0,2121.14,1.01893,67,1,6,MSSM QCS,Queen Charlotte Sound Multispecies Small-mesh Bottom Trawl,quillback rockfish,sebastes maliger
83,2013,425.09,0,1275.28,0.9516,67,1,6,MSSM QCS,Queen Charlotte Sound Multispecies Small-mesh Bottom Trawl,quillback rockfish,sebastes maliger
99,2016,664.41,0,1993.24,0.89363,67,1,6,MSSM QCS,Queen Charlotte Sound Multispecies Small-mesh Bottom Trawl,quillback rockfish,sebastes maliger
19,1992,2076.58,0,8306.31,0.98722,81,1,7,MSSM WCVI,West Coast Vancouver Island Multispecies Small-mesh Bottom Trawl,quillback rockfish,sebastes maliger
21,1994,1287.13,0,3861.4,0.95319,95,1,7,MSSM WCVI,West Coast Vancouver Island Multispecies Small-mesh Bottom Trawl,quillback rockfish,sebastes maliger
28,2003,1610505.63,939391.44,2325406.3,0.23208,170,31,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
35,2004,1522989.25,643627.87,2590594.21,0.32432,170,23,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
40,2005,3438772.09,1604758.44,5557954.4,0.29036,170,26,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
44,2006,2684072.78,1517915.02,4169688.27,0.25647,170,29,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
48,2007,2053921.44,1094958.75,3174473.41,0.26473,170,23,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
54,2008,1466224.51,816041.59,2209311.05,0.24544,169,24,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
60,2009,2126451.73,1144430.76,3398914.96,0.27393,170,28,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
66,2010,2604615.15,1484762.02,3841769.05,0.22998,170,33,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
71,2011,2489198.84,1483680.76,3562460.72,0.21906,170,32,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
79,2012,1612950.43,840020.96,2465266.44,0.2538,166,24,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
88,2014,1803999.82,1007992.54,2759854.41,0.25309,170,31,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
94,2015,2162335.68,1109789.04,3585951.03,0.30442,170,30,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
100,2016,1814259.01,836291.43,2956072.84,0.30447,169,24,14,IPHC FISS,International Pacific Halibut Commission Fishery-Independent Setline Survey,quillback rockfish,sebastes maliger
